IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/97F,,metamorphoses of male persons into stone
http://iconclass.org/97G,,metamorphoses of male persons into stars and constellations
http://iconclass.org/97H,,"metamorphoses of male persons into water, air, or other elements"
http://iconclass.org/97I,,metamorphoses into islands
http://iconclass.org/97K,,metamorphoses ~ sex
http://iconclass.org/97L,,metamorphoses ~ age
http://iconclass.org/97M,,metamorphoses into various forms at will
http://iconclass.org/97N,,metamorphoses of (fabulous) animals
http://iconclass.org/97O,,"metamorphoses of objects, plants and flowers"
http://iconclass.org/98A,,events and situations from classical history
http://iconclass.org/98B,📜🏛️👨,male persons from classical history
http://iconclass.org/98C,📜🏛️👩,female persons from classical history
http://iconclass.org/11A1,✝🔱💡,God the Creator
http://iconclass.org/11A2,,Divine Nature
http://iconclass.org/11A3,✝🔱😡,God's wrath
http://iconclass.org/11B1,,Trinity represented by tripartite symbols
http://iconclass.org/11B2,,"Trinity in which each of the Persons (God, Christ, Holy Ghost) is represented either by an object or by an animal"
http://iconclass.org/11B3,,"Holy Trinity in which one, two or all figures are represented in human shape"
http://iconclass.org/11B4,,"'Ratschluss der Erlösung', 'Prolog im Himmel'; Divine decree of Redemption"
http://iconclass.org/11B5,,extensions of the Holy Trinity
http://iconclass.org/11C1,✝️👴🔣,symbols of God the Father
http://iconclass.org/11C2,,"God the Father represented as human being, usually with crown or tiara or sceptre and/or globe"
http://iconclass.org/11C3,,Christ sitting at God's right hand
http://iconclass.org/11C4,,"'Scala Salutis', Christ and Mary interceding with God the Father"
http://iconclass.org/11C5,,other representations ~ God the Father
http://iconclass.org/11D1,✝️👶🔣,symbols and prefigurations of Christ
http://iconclass.org/11D2,,Christ as child or youth (in general) ~ Christian religion
http://iconclass.org/11D3,,Christ as adult
http://iconclass.org/11D4,,legends and devotions ~ Christ
http://iconclass.org/11D5,,mystic ideas ~ Christ
http://iconclass.org/11D6,,miraculous statues of Christ or the Christ-child
http://iconclass.org/11D9,,Antichrist
http://iconclass.org/11E1,,Holy Ghost represented as a dove (in flames)
http://iconclass.org/11E2,,Holy Ghost represented as flames
http://iconclass.org/11E3,,Holy Ghost represented in human shape
http://iconclass.org/11E4,,"Holy Ghost represented otherwise, e.g. ray(s) of light"
http://iconclass.org/11E5,,the seven gifts of the Holy Ghost
http://iconclass.org/11F1,,symbols and prefigurations of Mary
http://iconclass.org/11F2,,Mary (without the Christ-child)
http://iconclass.org/11F3,,"Mary (without Christ-child), together with others"
